timestamp,sector,division,lat,lon,consumption_mw,wastage_mw,tx_loss_mw,total_loss_mw,is_wastage_event,wastage_label,wastage_type,bdt_wasted,co2_kg_wasted,fuel_liters_wasted,hour,day_of_week,is_weekend
2024-10-01 00:00:00,Dhaka Industrial (Narayanganj RMG Zone),Dhaka,23.62,90.5,260.34,0.0,40.08,40.08,False,,,340673.0,23245.9,11222.2,0,1,False
2024-10-01 01:00:00,Dhaka Industrial (Narayanganj RMG Zone),Dhaka,23.62,90.5,249.68,0.0,34.02,34.02,False,,,289136.0,19729.3,9524.5,1,1,False
2024-10-01 02:00:00,Dhaka Industrial (Narayanganj RMG Zone),Dhaka,23.62,90.5,361.42,82.89,59.02,141.91,True,Industrial motor over-run,industrial_motor,1206265.0,82309.8,39735.8,2,1,False
2024-10-01 03:00:00,Dhaka Industrial (Narayanganj RMG Zone),Dhaka,23.62,90.5,264.89,0.0,36.36,36.36,False,,,309082.0,21090.3,10181.5,3,1,False
2024-10-01 04:00:00,Dhaka Industrial (Narayanganj RMG Zone),Dhaka,23.62,90.5,242.4,0.0,35.7,35.7,False,,,303452.0,20706.2,9996.1,4,1,False
2024-10-01 05:00:00,Dhaka Industrial (Narayanganj RMG Zone),Dhaka,23.62,90.5,236.48,0.0,36.53,36.53,False,,,310499.0,21187.0,10228.2,5,1,False
2024-10-01 06:00:00,Dhaka Industrial (Narayanganj RMG Zone),Dhaka,23.62,90.5,244.81,0.0,35.41,35.41,False,,,301008.0,20539.4,9915.6,6,1,False
2024-10-01 07:00:00,Dhaka Industrial (Narayanganj RMG Zone),Dhaka,23.62,90.5,239.53,0.0,35.51,35.51,False,,,301820.0,20594.8,9942.3,7,1,False
2024-10-01 08:00:00,Dhaka Industrial (Narayanganj RMG Zone),Dhaka,23.62,90.5,661.42,0.0,99.59,99.59,False,,,846518.0,57762.4,27885.3,8,1,False
2024-10-01 09:00:00,Dhaka Industrial (Narayanganj RMG Zone),Dhaka,23.62,90.5,682.04,0.0,104.83,104.83,False,,,891034.0,60799.9,29351.7,9,1,False
2024-10-01 10:00:00,Dhaka Industrial (Narayanganj RMG Zone),Dhaka,23.62,90.5,674.05,0.0,92.22,92.22,False,,,783909.0,53490.3,25822.9,10,1,False
2024-10-01 11:00:00,Dhaka Industrial (Narayanganj RMG Zone),Dhaka,23.62,90.5,663.34,0.0,87.96,87.96,False,,,747663.0,51017.0,24628.9,11,1,False
2024-10-01 12:00:00,Dhaka Industrial (Narayanganj RMG Zone),Dhaka,23.62,90.5,661.92,0.0,88.64,88.64,False,,,753398.0,51408.3,24817.8,12,1,False
2024-10-01 13:00:00,Dhaka Industrial (Narayanganj RMG Zone),Dhaka,23.62,90.5,687.92,0.0,108.26,108.26,False,,,920185.0,62789.1,30312.0,13,1,False
2024-10-01 14:00:00,Dhaka Industrial (Narayanganj RMG Zone),Dhaka,23.62,90.5,654.84,0.0,98.1,98.1,False,,,833845.0,56897.6,27467.8,14,1,False
2024-10-01 15:00:00,Dhaka Industrial (Narayanganj RMG Zone),Dhaka,23.62,90.5,669.28,0.0,87.93,87.93,False,,,747382.0,50997.9,24619.7,15,1,False
2024-10-01 16:00:00,Dhaka Industrial (Narayanganj RMG Zone),Dhaka,23.62,90.5,668.15,0.0,104.57,104.57,False,,,888805.0,60647.9,29278.3,16,1,False
2024-10-01 17:00:00,Dhaka Industrial (Narayanganj RMG Zone),Dhaka,23.62,90.5,678.54,0.0,96.67,96.67,False,,,821701.0,56069.0,27067.8,17,1,False
2024-10-01 18:00:00,Dhaka Industrial (Narayanganj RMG Zone),Dhaka,23.62,90.5,718.68,0.0,98.74,98.74,False,,,839306.0,57270.3,27647.7,18,1,False
2024-10-01 19:00:00,Dhaka Industrial (Narayanganj RMG Zone),Dhaka,23.62,90.5,692.05,0.0,116.81,116.81,False,,,992860.0,67748.1,32706.0,19,1,False
2024-10-01 20:00:00,Dhaka Industrial (Narayanganj RMG Zone),Dhaka,23.62,90.5,255.67,0.0,34.14,34.14,False,,,290211.0,19802.7,9559.9,20,1,False
2024-10-01 21:00:00,Dhaka Industrial (Narayanganj RMG Zone),Dhaka,23.62,90.5,266.81,0.0,35.17,35.17,False,,,298932.0,20397.7,9847.2,21,1,False
2024-10-01 22:00:00,Dhaka Industrial (Narayanganj RMG Zone),Dhaka,23.62,90.5,235.05,0.0,38.35,38.35,False,,,325957.0,22241.8,10737.4,22,1,False
